context,answer
كيف كانت نهاية حياة ملك رزوق غنام؟,توفيت بهدوء في سنة 2003 في بيتها بمنطقة هرورود في لندن
ما سبب فيضانات نيبال 2021؟,الأمطار الغزيرة
ماذا تسبب الفيضانات في نيبال؟,انهيارات أرضية
هل كانت الفيضانات مفاجئة أم متوقعة؟,وفيضانات مفاجئة
ما هو تأثير الأمطار الغزيرة في هذه الفيضانات؟,انهيارات أرضية
ما هي محافظة توتشيغي؟,هي محافظة في اليابان تقع في منطقة كانتو من جزيرة هونشو
أين تقع محافظة توتشيغي؟,في منطقة كانتو من جزيرة هونشو
ما هي عاصمة محافظة توتشيغي؟,مدينة أوتسونوميا
ما هي المعالم السياحية الشهيرة في توتشيغي؟,بوجود العديد من محلات أكلة الغيوزا. أيضا في أوتسونوميا يقع أكبر مراكز التسوق
ما هي أبرز المناطق السياحية في توتشيغي؟,يضم العديد من أضرحة الشنتو القديمة والمعابد البوذية التي وضعتها اليونسكو على لائحة مواقع التراث العالمي.
ما هي المنتجعات الموجودة في توتشيغي؟,منتجعات التزلج. وتمتلك العائلة الإمبراطورية فيلا في منطقة ناسو
ما هو بيل مول؟,أكبر مراكز التسوق في شمال منطقة كانتو
ما هي الأطعمة الشهيرة في أوتسونوميا؟,العديد من محلات أكلة الغيوزا.
من يمتلك فيلا في منطقة ناسو؟,العائلة الإمبراطورية
ما هو اسم اللاعب البريطاني الذي تم ذكره في النص؟,جو لايدلو
في أي مركز يلعب جو لايدلو في كرة القدم؟,الوسط،
ما هي تاريخ ميلاد جو لايدلو؟,12 يوليو 1950
أين ولد جو لايدلو؟,المملكة المتحدة.
أي نوادي لعب فيها جو لايدلو خلال مسيرته الكروية؟,لعب مع نادي بورتسموث ونادي دونكاستر روفرز ونادي كارلايل يونايتد ونادي مانسفيلد تاون ونادي ميدلزبره ونادي هيرفورد
في أي دولة ولد جو لايدلو؟,المملكة المتحدة.
ما هو مامادو كوليبالي؟,لاعب كرة قدم
في اي عام ولد مامادو كوليبالي؟,2003
ما هي تعريف الدعاية وكيف تُستخدم أساسًا؟,معلومات غير محايدة تستخدم بشكل أساسي للتأثير على الجمهور وتعزيز الأعمال
ما هي السمات السلبية المرتبطة بمصطلح الدعاية؟,دلالة سلبية قوية من خلال ارتباطه بالتلاعب وتزييف الحقائق
هل يمكن اعتبار نقش بيستون لصعود داريوس الأول على العرش مثالًا مبكرًا للدعاية؟,صعود داريوس الأول العرش الفارسي من قبل معظم المؤرخين كمثال مبكر للدعاية.
كيف استخدم أرثاشاسترا الدعاية في الهند القديمة وما هي الأساليب التي استخدمها؟,مثل كيفية نشر الدعاية وتطبيقها في الحرب
كيف أثر الإصلاح البروتستانتي على انتشار الأفكار والعقائد في أوروبا؟,إتاحة أفكار وعقيدة جديدة للجمهور بطرق لم يسبق رؤيتها قبل القرن السادس عشر
كيف استُخدمت الدعاية خلال حقبة الثورة الأمريكية؟,كان لدى المستعمرات الأمريكية شبكة مزدهرة من الصحف والطابعات المتخصصة في هذا الموضوع نيابة عن الوطنيين
كيف استُخدمت الدعاية خلال الحروب النابليونية؟,على سبيل المثال، وزع الجيرونديون الجرائد على قوات العدو يقدمون لهم مكافآت مقابل الفرار من الخدمة
ما هو جائزة مدينة مكسيكو الكبرى 2021 ؟,سباق سيارات لفئة الفورمولا واحد
متي أقيم جائزة مدينة مكسيكو الكبرى 2021 ؟,7 نوفمبر 2021
على أي حلبة أُقيم السباق؟,حلبة هيرمانوس رودريغيز في المكسيك
مَن فاز بسباق جائزة مدينة مكسيكو الكبرى 2021 لفورمولا واحد؟,ماكس فرستابن
من جاء في المركز الثاني في السباق؟,لويس هاملتون
من جاء في المركز الثالث في السباق؟,سيرجيو بيريز
كم عدد الدول التي تحتوي على لجان وطنية لليونيسف؟,36 دولة صناعية
ما هي مصادر تمويل اليونيسف؟,يتم تمويل اليونيسف حصريًا من خلال المساهمات الطوعية
كيف تقوم اللجان الوطنية بجمع الأموال لليونيسف؟,وتقوم اللجان الوطنية بشكل جماعي بجمع حوالي ثلث الدخل السنوي لليونيسف
كيف تساهم الشركات ومنظمات المجتمع المدني في تمويل اليونيسف؟,يأتي ذلك من خلال مساهمات من الشركات ومنظمات المجتمع المدني وأكثر من 6 ملايين مانح فردي في جميع أنحاء العالم
ما هي الجهات التي يقومون بجمع ثلث دخل اليونيسف سنويًا؟,اللجان الوطنية بشكل جماعي
ما هو دور اللجان الوطنية في تحقيق رؤية عالمية للأطفال؟,تأمين رؤية عالمية للأطفال المهددين بالفقر والكوارث والنزاع المسلح وسوء المعاملة والاستغلال
ما هي الجهات التي يحشدونها اللجان الوطنية للعمل على قضايا حقوق الطفل؟,وسائل الإعلام ومسؤولي الحكومة الوطنية والمحلية والمنظمات غير الحكومية والمتخصصين مثل الأطباء والمحامين والشركات والمدارس والشباب وعامة الناس - بشأن القضايا المتعلقة بحقوق الطفل
ما هي معركة غزة؟,كانت جزء من الحملة الصليبية البارونية
متي وقعت معركة غزة؟,وقعت في 13 نوفمبر 1239م
ما الذي حدث في معركة غزة؟,فيها هزم جيش الأيوبيين المصري جيشاً صليبياً
من الذي قاد معركة غزة؟,بقيادة ثيوبالد الأول ملك نافارا
في أي عام تم منح أوزبكستان وكوبا صفة مراقب في الاتحاد الاقتصادي الأوراسي؟,ديسمبر 2020.
ما هي الدولة التي تمت مناقشة توسعها في الاتحاد الاقتصادي الأوراسي في ديسمبر 2012؟,أرمينيا.
في أي عام تم منح مولدوفا صفة مراقب في الاتحاد الاقتصادي الأوراسي؟,أبريل 2017
ما هي جمهورية جنوب أفريقيا ؟,هي دولة تقع في أقصى جنوب تقع في الطرف الجنوبي للقارة ويحدها كل من ناميبيا
ما هي الدول التي تحدها جنوب إفريقيا؟,يحدها كل من ناميبيا، بوتسوانا، زيمبابوي، موزمبيق وإسواتيني
ما هو الاقتصاد الذي تتمتع به جنوب إفريقيا؟,اقتصادها هو الأكبر والأكثر تطورا بين كل الدول الأفريقية، والبنية التحتية الحديثة موجودة في كل أنحاء البلاد تقريباً
